lookup_success,messages
true,8817
true,2205
true,131
true,634
true,4
true,7
true,1021
true,606
true,214
true,2205
true,1324
true,16
true,5190
true,465
true,31
true,2036
true,1818
true,36
true,1010
true,3605
true,101
true,9396
true,4367
true,61
true,548
true,707
true,3909
true,4108
true,2532
true,37
true,2709
true,3
true,2848
true,1803
false,10000
false,10000
true,1627
true,3924
true,211
true,302
true,9
true,555
true,1713
true,212
true,6907
true,3406
true,2933
true,409
true,4210
true,501
true,1707
true,1878
true,4541
true,404
true,1923
true,15
true,5836
true,7205
true,211
true,1810
false,10000
true,701
true,4094
true,805
true,7482
true,4512
true,2332
true,11
true,80
true,3407
true,2405
true,2706
false,10000
true,2402
true,618
true,7058
true,208
true,420
true,3
true,37
true,24
true,6301
true,815
true,4422
true,1097
true,336
true,3713
true,3
true,2305
true,311
true,1424
true,706
true,1201
true,1674
true,1219
true,505
true,2212
true,1456
true,5
false,10000
